Season,ID,GH,tm_CV_SMF1,nsteps_CV_SMF1,mu.vel_CV_SMF1,pl.up_CV_SMF1,pl.fwd_CV_SMF1,pl.side_CV_SMF1
2023,1,71.5,2.51,9,25.79,1.49,0.87,0.72
2023,2,71.5,4.95,16,23.17,3.1,1.76,1.6
2023,3,71.5,4.32,14,23.84,4.01,1.97,2.17
2023,4,71.5,4.29,14,24.03,2.87,1.39,1.46
2023,5,71.5,4.14,14,26.95,2.85,1.19,1.71
2023,6,71.5,4.11,13,23.98,2.36,1.4,1.52
2023,7,71.5,3.96,14,24.83,3.01,1.31,1.57
2023,8,71.5,3.95,13,24.16,2.95,1.71,1.52
2023,9,71.5,3.9,14,26.03,2.05,1.45,1.39
2023,10,71.5,2.06,7,28.53,2.66,1.14,1.3
2023,11,71.5,3.88,12,24.51,2.42,1.3,1.16
2023,12,71.5,3.64,13,25.11,2.6,1.05,0.81
2023,13,71.5,3.37,12,25.16,2.31,0.93,1.53
2023,14,71.5,2.95,9,25.49,1.33,0.74,0.76
2023,15,71.5,2.88,10,25.65,2.49,1.31,1.23
2023,16,71.5,2.75,9,27.37,1.82,0.87,0.79
2023,17,71.5,2.68,9,25.38,1.2,0.83,1.15
2023,18,71.5,2.65,10,28.78,2.55,1.18,1.31
2023,19,71.5,2.6,9,26.45,1.59,0.92,1.04
2023,18,75,3.03,11,27.76,2.31,1.11,1.24
2023,2,75,4.89,16,25.17,3.31,1.88,1.89
2023,4,75,4.15,15,26.26,3.44,1.9,1.44
2023,5,75,4,14,27.46,2.73,1.19,1.6
2023,7,75,3.97,16,27.73,4.33,1.12,1.22
2023,9,75,3.84,15,27.89,2.14,1.67,2.09
2023,3,75,3.77,14,26.73,5.13,2.44,2.42
2023,20,75,3.77,15,28.28,2.39,1.38,1.29
2023,19,75,3.74,14,28.12,3.05,1.63,1.88
2023,11,75,3.58,13,26.98,2.85,1.51,1.04
2023,10,75,3.57,12,27.88,3.72,2.04,1.79
2023,6,75,3.42,12,27.59,2.31,1.36,1.52
