ID,value_ave_GB,value_ConPV_mx,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1
3,403,2.8,37.2,0.92,2416,400,0.62,4.32,23.84,1.433,0.713,0.813,80.2,20.92,11.06,10.19
39,444.5,2.72,35.2,0.95,3090,368,0.66,,,,,,,,,
4,492,2.89,40.2,0.99,2168,384,0.64,4.29,24.03,1.085,0.357,0.408,,17.81,9.1,8.86
10,438,2.78,36.1,1.13,3193,338,0.46,2.06,28.53,1.366,0.573,0.618,79,22.11,10.52,10.57
9,547.5,2.87,39.3,0.96,2888,406,0.58,3.9,26.03,0.71,0.363,0.315,75.8,22.54,10.33,9.87
7,594,2.79,,0.9,,404,0.61,3.96,24.83,1.162,0.328,0.512,77.6,19.59,8.99,11.68
15,,,,,,,,2.88,25.65,1.218,0.585,0.51,83,19.92,9.34,10.81
2,,2.76,36.3,1,2202,358,0.52,4.95,23.17,1.063,0.496,0.41,80.4,21.47,8.48,9.45
12,,,,,,,,3.64,25.11,1.076,0.184,,76,18.98,10.43,8.5
13,414,2.84,38.2,0.67,1713,540,0.83,3.37,25.16,1.04,0.139,0.629,,18.39,8.37,8.87
14,538.5,2.92,41.2,0.96,2297,418,0.63,2.95,25.49,0.599,0.016,0.028,83.9,17.36,9.86,8.98
42,573.5,,,,,,,,,,,,,,,
16,520,2.86,38.6,1.38,3587,266,0.45,2.75,27.37,0.835,,,79.7,21.2,7.55,7.79
1,,,,,,,,2.51,25.79,0.832,0.301,0.099,,,,
19,,2.75,36,0.88,2014,436,0.67,2.6,26.45,0.817,0.277,0.384,74.9,19.06,7.6,11.94
5,517,2.9,39.3,0.89,2500,446,0.68,4.14,26.95,0.918,0.039,0.381,74.7,24.65,8.26,9.82
11,,2.88,39.1,0.8,2338,464,0.8,3.88,24.51,0.99,0.368,0.25,88,23.1,10.85,9.26
17,422,3.1,46.1,1.05,2767,418,0.57,2.68,25.38,0.591,0.219,0.535,,19.27,9.51,13.38
8,475.5,2.69,34.1,0.82,1903,444,0.63,3.95,24.16,1.192,0.646,0.533,84,32.1,13.69,12.34
18,550.5,2.75,36.2,0.9,2582,428,0.68,2.65,28.78,1.123,0.353,0.412,82.2,25.99,10.13,12.8
6,590.5,2.9,39.7,1.11,3347,358,0.56,4.11,23.98,0.927,0.415,0.494,83.1,25.13,7.98,13.52
35,440.5,,,,,,,,,,,,,,,
40,255.5,,,,,,,,,,,,,,,
23,642.5,2.91,40.2,0.77,2824,496,0.71,,,,,,,,,
7,575,,,,,,,,,,,,,,,
4,487,,,,,,,,,,,,,,,
39,436.5,,,,,,,,,,,,,,,
3,484,,,,,,,,,,,,,,,
18,513,,,,,,,,,,,,,,,
19,330.5,,,,,,,,,,,,,,,
16,504.5,,,,,,,,,,,,,,,
9,518,,,,,,,,,,,,,,,
13,421.5,,,,,,,,,,,,,,,
14,537.5,,,,,,,,,,,,,,,
8,475.5,,,,,,,,,,,,,,,
23,612.5,,,,,,,,,,,,,,,
7,576.5,,,,,,,,,,,,,,,
11,452.5,,,,,,,,,,,,,,,
10,439,,,,,,,,,,,,,,,
17,451,,,,,,,,,,,,,,,
40,246.5,,,,,,,,,,,,,,,
42,587.5,,,,,,,,,,,,,,,
5,508.5,,,,,,,,,,,,,,,
2,485.5,,,,,,,,,,,,,,,
6,583,,,,,,,,,,,,,,,
3,503.5,2.81,37.3,0.9,2436,422,0.61,3.77,26.73,1.587,0.84,0.819,75.6,19.64,9.8,10.78
4,466.5,2.75,36.3,0.89,2119,424,0.64,4.15,26.26,1.138,0.54,0.258,80.7,20.21,9.06,8.43
20,,,,,,,,3.77,28.28,0.758,0.177,0.086,80.5,19.43,8.95,8.36
15,,,,,,,,3.37,26.48,1.374,0.664,0.573,77.3,17.94,9.31,9.47
8,448.5,2.7,34.3,0.8,1896,458,0.65,3.39,27.22,1.093,0.686,0.638,80,29.99,12.85,11.45
21,,,,,,,,3.31,26.95,1.234,0.725,0.749,73.1,24.74,10.29,14.57
24,,,,,,,,2.38,27.54,0.934,0.349,0.442,83.8,20.72,10.57,17.67
17,396,3.02,43.3,1.05,2904,406,0.56,1.97,27.67,0.608,0.597,0.551,83,23.02,10.45,13.67
42,593.5,2.82,38.1,0.97,2131,374,0.68,,,,,,,,,
6,,2.86,39.1,1.03,3221,372,0.52,3.42,27.59,0.858,0.3,0.396,70.8,23.62,9.89,12.3
14,524.5,2.97,41.8,0.87,2249,474,0.68,2.93,28.21,0.703,0.156,0.105,81.3,17.56,9.4,10.24
7,563.5,2.68,33.4,0.81,2209,432,0.64,3.97,27.73,1.307,,0.027,81.6,20.95,11.05,8.24
2,450,2.7,35.3,0.91,2094,400,0.64,4.89,25.17,1.016,0.427,0.43,77.3,21.31,8.37,9.83
10,434,2.7,34.1,1.14,3241,334,0.48,3.57,27.88,1.216,0.61,0.456,77,26.45,12.41,11.55
5,500.5,2.87,38.3,1.09,2644,342,0.64,4,27.46,0.877,0.035,0.307,74.7,24.22,7.54,9.8
16,516,2.8,37.1,1.18,3126,300,0.57,2.72,27.64,1.203,0.577,0.505,77.2,22.42,9.03,8.91
13,452.5,2.82,37.9,0.69,1726,518,0.8,3.2,29.02,1.217,0.254,0.462,76.4,17.97,7.81,8.61
23,607.5,2.87,39,0.74,2575,502,0.77,2.45,26.42,0.51,0.112,0.44,82.2,17.41,6.26,9.27
18,525.5,2.83,38.6,1.03,2725,394,0.66,3.03,27.76,0.955,0.211,0.309,,,,
11,470.5,2.85,37.9,0.75,2414,488,0.73,3.58,26.98,1.045,0.405,0.03,83.9,24.97,10.53,8.8
19,313,2.78,37,0.87,2203,470,0.66,3.74,28.12,1.001,0.344,0.451,74.4,20.48,8.38,13.96
