Season,Week,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mn,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mn,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,1,3,403,37.18,0.92,2415.5,0.4,0.528,4.32,23.84,1.413,0.733,0.833,80.2,20.92,11.06,10.19,-0.91,0.18,-0.05,-0.1,-0.11,-0.33,0.29,-0.35,2.32,2.1,2.31,0.77,-0.07,1.1,0.28,,,
2023,1,39,444.5,35.16,0.95,3089.5,0.368,0.546,,,,,,,,,,-0.43,-0.32,0.14,1.43,-0.61,-0.14,,,,,,,,,,,,
2023,1,4,492,40.16,0.99,2167.5,0.384,0.548,4.29,24.03,1.065,0.367,0.428,,17.81,9.1,8.86,0.13,0.93,0.38,-0.66,-0.36,-0.12,0.26,-0.27,0.59,0.12,0.25,,-1.14,-0.1,-0.41,,,
2023,1,10,438,36.08,1.13,3192.5,0.338,0.452,2.06,28.53,1.346,0.593,0.638,79,22.11,10.52,10.57,-0.5,-0.09,1.26,1.66,-1.08,-1.09,-1.74,1.56,1.99,1.34,1.32,0.51,0.34,0.77,0.48,,,
2023,1,9,547.5,39.25,0.96,2887.5,0.406,0.548,3.9,26.03,0.7,0.373,0.325,75.8,22.54,10.33,9.87,0.77,0.7,0.2,0.97,-0.01,-0.12,-0.09,0.54,-1.22,0.15,-0.28,-0.2,0.49,0.65,0.12,,,
2023,1,7,594,36.18,0.9,,0.404,0.58,3.96,24.83,1.142,0.338,0.532,77.6,19.59,8.99,11.68,1.31,-0.07,-0.18,,-0.05,0.2,-0.03,0.05,0.97,-0.04,0.78,0.2,-0.53,-0.16,1.06,,,
2023,1,15,,,,,,,2.88,25.65,1.198,0.605,0.53,83,19.92,9.34,10.81,,,,,,,-1.01,0.39,1.25,1.41,0.77,1.39,-0.41,0.05,0.61,,,
2023,1,2,,36.3,1,2201.5,0.358,0.506,4.95,23.17,1.053,0.516,0.43,80.4,21.47,8.48,9.45,,-0.04,0.45,-0.58,-0.77,-0.55,0.85,-0.62,0.53,0.93,0.26,0.82,0.12,-0.47,-0.1,,,
2023,1,12,,,,,,,3.64,25.11,1.066,0.194,,76,18.98,10.43,8.5,,,,,,,-0.32,0.17,0.6,-0.82,,-0.16,-0.74,0.71,-0.6,,,
2023,1,13,414,,,,,,3.37,25.16,1.02,0.149,0.639,,18.39,8.37,8.87,-0.78,,,,,,-0.57,0.19,0.37,-1.07,1.32,,-0.94,-0.54,-0.41,,,
2023,1,14,538.5,41.19,0.96,2296.5,0.418,0.59,2.95,25.49,0.579,0.026,0.048,83.9,17.36,9.86,8.98,0.67,1.18,0.2,-0.37,0.17,0.3,-0.94,0.32,-1.83,-1.73,-1.69,1.59,-1.3,0.37,-0.35,,,
2023,1,42,573.5,,,,,,,,,,,,,,,1.08,,,,,,,,,,,,,,,,,
2023,1,16,520,38.61,1.38,3586.5,0.266,0.35,2.75,27.37,0.815,0.1,,79.7,21.2,7.55,7.79,0.45,0.54,2.81,2.55,-2.21,-2.11,-1.12,1.09,-0.65,-1.33,,0.66,0.03,-1.04,-0.97,,,
2023,1,1,,,,,,,2.51,25.79,0.822,0.321,0.119,,,,,,,,,,,-1.34,0.44,-0.62,-0.13,-1.33,,,,,,,
2023,1,19,,35.95,0.88,2013.5,0.436,0.592,2.6,26.45,0.797,0.287,0.394,74.9,19.06,7.6,11.94,,-0.13,-0.3,-1.01,0.46,0.32,-1.26,0.71,-0.74,-0.32,0.07,-0.4,-0.71,-1.01,1.2,,,
2023,1,5,517,39.28,0.89,2499.5,0.446,0.606,4.14,26.95,0.898,0.049,0.401,74.7,24.65,8.26,9.82,0.42,0.71,-0.24,0.09,0.61,0.46,0.13,0.91,-0.24,-1.61,0.11,-0.44,1.21,-0.61,0.09,,,
2023,1,11,,39.13,0.8,2337.5,0.464,0.692,3.88,24.51,0.97,0.378,0.27,88,23.1,10.85,9.26,,0.67,-0.8,-0.27,0.9,1.32,-0.11,-0.08,0.12,0.18,-0.56,2.5,0.68,0.97,-0.2,,,
2023,1,17,422,46.11,1.05,2766.5,0.418,0.56,2.68,25.38,0.571,0.239,0.555,,19.27,9.51,13.38,-0.69,2.41,0.76,0.7,0.17,0,-1.19,0.28,-1.87,-0.58,0.89,,-0.64,0.15,1.95,,,
2023,1,8,475.5,34.07,0.82,1902.5,0.444,0.602,3.95,24.16,1.172,0.666,0.553,84,32.1,13.69,12.34,-0.07,-0.59,-0.67,-1.26,0.58,0.42,-0.04,-0.22,1.12,1.74,0.88,1.61,3.78,2.7,1.4,,,
2023,1,18,550.5,36.16,0.9,2581.5,0.428,0.588,2.65,28.78,1.113,0.363,0.432,82.2,25.99,10.13,12.8,0.81,-0.07,-0.18,0.28,0.33,0.28,-1.21,1.66,0.83,0.09,0.27,1.21,1.67,0.53,1.64,,,
2023,1,6,590.5,39.72,1.11,3346.5,0.358,0.48,4.11,23.98,0.917,0.425,0.514,83.1,25.13,7.98,13.52,1.27,0.82,1.13,2.01,-0.77,-0.81,0.1,-0.29,-0.15,0.43,0.69,1.41,1.38,-0.78,2.02,,,
2023,1,35,440.5,,,,,,,,,,,,,,,-0.47,,,,,,,,,,,,,,,,,
2023,1,40,255.5,,,,,,,,,,,,,,,-2.63,,,,,,,,,,,,,,,,,
2023,1,23,642.5,40.19,0.77,2823.5,0.496,0.686,,,,,,,,,,1.88,0.93,-0.98,0.83,1.4,1.26,,,,,,,,,,,,
2023,1,7,575,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,-1.37,0.05,1.1
2023,1,4,487,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,-0.98,-0.19,-1.18
2023,1,39,436.5,,,,,,,,,,,,,,,-0.52,,,,,,,,,,,,,,,-1.28,0.3,0.37
2023,1,3,484,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,-0.91,0.14,-0.47
2023,1,18,513,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,-0.5,-0.32,0.1
2023,1,19,330.5,,,,,,,,,,,,,,,-1.75,,,,,,,,,,,,,,,-1.02,-0.33,-0.24
2023,1,16,504.5,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,-0.57,0.43,0.11
2023,1,9,518,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,-1.11,-0.2,-1.21
2023,1,13,421.5,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,,,-0.87,-0.65,-0.43
2023,1,14,537.5,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,-1.07,-0.03,-1.27
2023,1,8,475.5,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,-0.67,0.33,-0.74
2023,1,23,612.5,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,-1.03,-0.47,-0.51
2023,1,7,576.5,,,,,,,,,,,,,,,1.11,,,,,,,,,,,,,,,-0.42,1.32,1.31
2023,1,11,452.5,,,,,,,,,,,,,,,-0.33,,,,,,,,,,,,,,,-0.78,0.01,-0.6
2023,1,10,439,,,,,,,,,,,,,,,-0.49,,,,,,,,,,,,,,,-0.9,0.22,-0.3
2023,1,17,451,,,,,,,,,,,,,,,-0.35,,,,,,,,,,,,,,,-1.22,-0.2,-0.07
2023,1,40,246.5,,,,,,,,,,,,,,,-2.73,,,,,,,,,,,,,,,-2.31,-1.37,-1.39
2023,1,42,587.5,,,,,,,,,,,,,,,1.24,,,,,,,,,,,,,,,-0.52,0.09,-0.7
2023,1,5,508.5,,,,,,,,,,,,,,,0.32,,,,,,,,,,,,,,,-0.75,0.23,0.44
2023,1,2,485.5,,,,,,,,,,,,,,,0.05,,,,,,,,,,,,,,,-1.07,-0.11,-0.65
2023,1,6,583,,,,,,,,,,,,,,,1.19,,,,,,,,,,,,,,,-0.41,0.03,0.63
2023,2,3,503.5,37.3,0.9,2435.9,0.422,0.564,3.77,26.73,,0.81,0.819,75.6,19.64,9.8,10.78,0.26,0.21,-0.18,-0.05,0.24,0.04,-0.21,0.82,,2.52,2.24,-0.25,-0.51,0.33,0.59,0.39,1.09,0.6
