Season,ID,value_ave_GB,value_JHIM.mx,value_FTCT.mx,value_FZVmx,value_EccDur.mn,value_TTPP.mx,value_tm_CV_SMF1,value_mu.vel_CV_SMF1,value_logAdj_pl.up,value_logAdj_pl.fwd,value_logAdj_pl.side,value_HRmu_perc,value_pl.up_CV_SMR1,value_pl.fwd_CV_SMR1,value_pl.side_CV_SMR1,Zscr_BT_ave_GB,Zscr_BT_JHIM.mx,Zscr_BT_FTCT.mx,Zscr_BT_FZVmx,Zscr_BT_EccDur.mn,Zscr_BT_TTPP.mx,Zscr_BT_tm_CV_SMF1,Zscr_BT_mu.vel_CV_SMF1,Zscr_BT_logAdj_pl.up,Zscr_BT_logAdj_pl.fwd,Zscr_BT_logAdj_pl.side,Zscr_BT_HRmu_perc,Zscr_BT_pl.up_CV_SMR1,Zscr_BT_pl.fwd_CV_SMR1,Zscr_BT_pl.side_CV_SMR1,Zscr_WI_TD_acu7,Zscr_WI_HIR_17_acu7,Zscr_WI_VHSR_25_acu7
2023,7,575,,,,,,,,,,,,,,,1.09,,,,,,,,,,,,,,,-1.37,0.05,1.1
2023,4,487,,,,,,,,,,,,,,,0.07,,,,,,,,,,,,,,,-0.98,-0.19,-1.18
2023,39,436.5,,,,,,,,,,,,,,,-0.52,,,,,,,,,,,,,,,-1.28,0.3,0.37
2023,3,484,,,,,,,,,,,,,,,0.03,,,,,,,,,,,,,,,-0.91,0.14,-0.47
2023,18,513,,,,,,,,,,,,,,,0.37,,,,,,,,,,,,,,,-0.5,-0.32,0.1
2023,19,330.5,,,,,,,,,,,,,,,-1.75,,,,,,,,,,,,,,,-1.02,-0.33,-0.24
2023,16,504.5,,,,,,,,,,,,,,,0.27,,,,,,,,,,,,,,,-0.57,0.43,0.11
2023,9,518,,,,,,,,,,,,,,,0.43,,,,,,,,,,,,,,,-1.11,-0.2,-1.21
2023,13,421.5,,,,,,,,,,,,,,,-0.69,,,,,,,,,,,,,,,-0.87,-0.65,-0.43
2023,14,537.5,,,,,,,,,,,,,,,0.66,,,,,,,,,,,,,,,-1.07,-0.03,-1.27
2023,8,475.5,,,,,,,,,,,,,,,-0.07,,,,,,,,,,,,,,,-0.67,0.33,-0.74
2023,23,612.5,,,,,,,,,,,,,,,1.53,,,,,,,,,,,,,,,-1.03,-0.47,-0.51
