ID,rn,vel_m.s,Acceleration,acc.up
#ID33,0.01,,,0.84
#ID33,0.02,,,0.85
#ID33,0.03,,,0.86
#ID33,0.04,,,0.88
#ID33,0.05,,,0.9
#ID33,0.06,,,0.91
#ID33,0.07,,,0.92
#ID33,0.08,,,0.94
#ID33,0.09,,,0.95
#ID33,0.1,0.438888889,-0.153,0.97
#ID33,0.11,,,0.97
#ID33,0.12,,,0.97
#ID33,0.13,,,0.94
#ID33,0.14,,,0.9
#ID33,0.15,,,0.84
#ID33,0.16,,,0.77
#ID33,0.17,,,0.7
#ID33,0.18,,,0.64
#ID33,0.19,,,0.59
#ID33,0.2,0.488888889,-0.092,0.58
#ID33,0.21,,,0.59
#ID33,0.22,,,0.64
#ID33,0.23,,,0.7
#ID33,0.24,,,0.78
#ID33,0.25,,,0.84
#ID33,0.26,,,0.88
#ID33,0.27,,,0.88
#ID33,0.28,,,0.83
#ID33,0.29,,,0.77
#ID33,0.3,0.55,-0.005,0.69
#ID33,0.31,,,0.64
#ID33,0.32,,,0.63
#ID33,0.33,,,0.67
#ID33,0.34,,,0.76
#ID33,0.35,,,0.88
#ID33,0.36,,,1.01
#ID33,0.37,,,1.14
#ID33,0.38,,,1.25
#ID33,0.39,,,1.35
#ID33,0.4,0.633333333,0.103,1.43
#ID33,0.41,,,1.49
#ID33,0.42,,,1.54
#ID33,0.43,,,1.57
#ID33,0.44,,,1.58
#ID33,0.45,,,1.57
#ID33,0.46,,,1.51
#ID33,0.47,,,1.41
#ID33,0.48,,,1.26
#ID33,0.49,,,1.07
#ID33,0.5,0.747222222,0.232,0.84
#ID33,0.51,,,0.6
#ID33,0.52,,,0.37
#ID33,0.53,,,0.17
#ID33,0.54,,,0.03
#ID33,0.55,,,-0.07
#ID33,0.56,,,-0.11
#ID33,0.57,,,-0.13
#ID33,0.58,,,-0.12
#ID33,0.59,,,-0.09
#ID33,0.6,0.913888889,0.391,-0.05
#ID33,0.61,,,0.02
#ID33,0.62,,,0.12
#ID33,0.63,,,0.26
